checked_at_utc,priority,url,primary_query,impressions,avg_position,status,final_url,content_type,server,x_powered_by,cache_control,body_bytes,body_sha256,body_preview,title,title_length,meta_description,meta_length,h1,h1_length,canonical,robots,status_ok,title_ok,meta_ok,canonical_ok,robots_ok,h1_ok,health_class,error
2026-06-01T17:28:41.116515+00:00,P0-1,https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,1500 dollars to philippine peso,22598,7.89,500,https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:41.299479+00:00,P0-2,https://www.biyapay.com/compare/best-AED-INR-exchange-rates?amount=3000,,16146,8.12,500,https://www.biyapay.com/compare/best-AED-INR-exchange-rates?amount=3000,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:41.471893+00:00,P0-3,https://www.biyapay.com/compare/best-AED-INR-exchange-rate?amount=1500,1500 dirhams in rupees,14283,8.99,500,https://www.biyapay.com/compare/best-AED-INR-exchange-rate?amount=1500,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:41.587784+00:00,P0-4,https://www.biyapay.com/compare/best-USD-PKR-exchange-rate?amount=1500,,12604,6.88,500,https://www.biyapay.com/compare/best-USD-PKR-exchange-rate?amount=1500,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:41.702771+00:00,P0-5,https://www.biyapay.com/compare/best-USD-GBP-exchange-rate?amount=1500,,11778,8.57,500,https://www.biyapay.com/compare/best-USD-GBP-exchange-rate?amount=1500,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:41.817639+00:00,P0-6,https://www.biyapay.com/compare/best-JPY-USD-exchange-rates?amount=1500,,7960,8.18,500,https://www.biyapay.com/compare/best-JPY-USD-exchange-rates?amount=1500,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:41.941246+00:00,P0-7,https://www.biyapay.com/compare/best-USD-INR-exchange-rate?amount=1500,,7717,8.41,500,https://www.biyapay.com/compare/best-USD-INR-exchange-rate?amount=1500,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:42.054329+00:00,P0-8,https://www.biyapay.com/compare/best-USD-AUD-exchange-rate?amount=1500,,6153,8.67,500,https://www.biyapay.com/compare/best-USD-AUD-exchange-rate?amount=1500,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:42.169364+00:00,P0-9,https://www.biyapay.com/compare/best-PHP-USD-exchange-rates?amount=20000,,5915,9.43,500,https://www.biyapay.com/compare/best-PHP-USD-exchange-rates?amount=20000,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
2026-06-01T17:28:42.282189+00:00,P0-10,https://www.biyapay.com/compare/best-EUR-USD-exchange-rates?amount=1500,1500 euro to usd,5267,8.71,500,https://www.biyapay.com/compare/best-EUR-USD-exchange-rates?amount=1500,text/html; charset=utf-8,nginx/1.20.1,Next.js,"no-cache, no-store, max-age=0, must-revalidate",21,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,Internal Server Error,,0,,0,,0,,,False,False,False,False,False,False,fail,Internal Server Error
