relative_path,source_group,import_status,skipped_row_kind,imported_rows,expected_data_rows,skipped_rows,metadata_preamble_rows,malformed_data_rows,imported_pct,error
03 news/gsc/news_coverage_examples.csv,gsc,failed,encoding_blocked,0,41,41,0,0,0.0,encoding_blocked
03 news/ga/ga4-news_hostname_daily_90d.csv,ga4,partial,encoding_blocked,93,91,0,6,0,102.2,encoding_blocked
ga4/ga4_page_location_pii_token_check_2025-11-20_2026-05-19.csv,ga4,partial,metadata_preamble_skipped,99966,100000,34,6,2,99.97,""
01 www/ga4-organic_top50_landing.csv,ga4,partial,metadata_preamble_skipped,11780,11797,17,6,2,99.86,""
ga4/_legacy_ga4_4dips/organic_top50_landing.csv .csv,ga4,partial,metadata_preamble_skipped,13469,13486,17,6,2,99.87,""
01 www/www_ga4_organic_landing_country_device_2025-11-20_2026-05-19.csv,ga4,partial,metadata_preamble_skipped,22982,22996,14,6,2,99.94,""
02 invest/invest_gsc_16m_query_page_date_country_device_2026-05-19/搜索结果呈现.csv,gsc,imported,expected_empty_export,0,0,0,0,0,,""
02_invest/gsc/2026-05-19/invest_gsc_16m_query_page_date_country_device_2026-05-19/搜索结果呈现.csv,gsc,imported,expected_empty_export,0,0,0,0,0,,""
03 news/news_gsc_16m_query_page_date_country_device_2026-05-19/搜索结果呈现.csv,gsc,imported,expected_empty_export,0,0,0,0,0,,""
01 www/ga4-conversion_funnel_180d.csv,ga4,imported,metadata_preamble_skipped,162,162,0,6,2,100.0,""
01 www/ga4-organic_by_country_daily.csv,ga4,imported,metadata_preamble_skipped,7366,7366,0,6,2,100.0,""
01 www/ga4-organic_daily_180d.csv,ga4,imported,metadata_preamble_skipped,175,175,0,6,2,100.0,""
01 www/ga4-www_hostname_daily_90d.csv,ga4,imported,metadata_preamble_skipped,90,90,0,6,2,100.0,""
01 www/www_ga4_organic_landing_key_events_2025-11-20_2026-05-19.csv,ga4,imported,metadata_preamble_skipped,43732,43732,0,6,2,100.0,""
02 invest/ga4-invest_hostname_daily_90d.csv,ga4,imported,metadata_preamble_skipped,90,90,0,6,2,100.0,""
02 invest/invest_ga4_landing_event_hostname_channel_2025-11-20_2026-05-19.csv,ga4,imported,metadata_preamble_skipped,4609,4609,0,6,2,100.0,""
02_invest/ga4/2026-04-28/ga4-invest_hostname_daily_90d.csv,ga4,imported,metadata_preamble_skipped,90,90,0,6,2,100.0,""
02_invest/ga4/2026-05-19/invest_ga4_landing_event_hostname_channel_2025-11-20_2026-05-19.csv,ga4,imported,metadata_preamble_skipped,4609,4609,0,6,2,100.0,""
03 news/ga/ga4-organic_by_country_daily.csv,ga4,imported,metadata_preamble_skipped,269,269,0,6,2,100.0,""
03 news/ga/ga4-organic_daily_180d.csv,ga4,imported,metadata_preamble_skipped,110,110,0,6,2,100.0,""
03 news/ga/ga4-organic_top50_landing.csv,ga4,imported,metadata_preamble_skipped,138,138,0,6,2,100.0,""
03 news/news_ga4_landing_event_hostname_channel_2025-11-20_2026-05-19.csv,ga4,imported,metadata_preamble_skipped,4942,4942,0,6,2,100.0,""
03 news/news_to_invest_ga4_cross_domain_funnel_2025-11-20_2026-05-19.csv,ga4,imported,metadata_preamble_skipped,12,12,0,6,1,100.0,""
5-22/ga4_hostname_audit_28d_2026-04-24_to_2026-05-21.csv,ga4,imported,metadata_preamble_skipped,91,91,0,9,0,100.0,""
cross/www_to_invest_ga4_cross_domain_funnel_2025-11-20_2026-05-19.csv,ga4,imported,metadata_preamble_skipped,15,15,0,6,1,100.0,""
ga4/_legacy_ga4_4dips/conversion_funnel_180d-user_register .csv,ga4,imported,metadata_preamble_skipped,165,165,0,6,2,100.0,""
ga4/_legacy_ga4_4dips/organic_by_country_daily .csv,ga4,imported,metadata_preamble_skipped,7582,7581,0,7,2,100.01,""
ga4/_legacy_ga4_4dips/organic_by_device_daily .csv,ga4,imported,metadata_preamble_skipped,513,513,0,6,2,100.0,""
ga4/_legacy_ga4_4dips/organic_daily_180d .csv,ga4,imported,metadata_preamble_skipped,176,176,0,6,2,100.0,""
